Date,Time,Reason For Call,Patrol Officer Name/Street,Street/Unit,Unit/Car,Race,Gender,Outcome,Severity
9/13/2020,1030,#NAME?,PATROL ANTHONY M DUPRAT,BRIDGES RD,30,W,M,4,1
9/12/2020,36,#NAME?,PATROL KALVIN DZIEDZIAK,MAIN ST,30,W,M,7,1
9/12/2020,1921,#NAME?,PATROL ANTHONY M DUPRAT,GREEN RIVER RD,30,W,M,3,0
9/11/2020,2109,#NAME?,PATROL DAVID JENNINGS D,SOUTHWORTH ST,NA,W,F,3,0
9/11/2020,2120,#NAME?,PATROL ANTHONY M DUPRAT,COLD SPRING RD,NA,W,F,3,0
9/11/2020,2128,#NAME?,PATROL DAVID JENNINGS D,WATER ST,34,B,M,3,0
9/11/2020,2011,#NAME?,PATROL ANTHONY M DUPRAT,BRIDGES RD,30,W,M,4,1
9/11/2020,2139,- MOTOR VEHICLE STOP CITATION ~- WARNING,PATROL ANTHONY M DUPRAT,COLD SPRING RD,30,W,M,3,0
9/8/2020,738,#NAME?,PATROL ANTHONY M DUPRAT,COLD SPRING RD,30,W,F,3,0
9/8/2020,814,#NAME?,NA,WATER ST,30,W,M,3,0
9/7/2020,51,#NAME?,DISPATCHER LAURIE TUPER,JOHN ST,34,W,M,3,0
9/7/2020,1110,#NAME?,PATROL ANTHONY M DUPRAT,GREEN RIVER RD,30,W,M,3,0
9/6/2020,1858,#NAME?,PATROL SHUAN N WILLIAM,[WIA 505] MAIN ST,32,W,F,3,0
9/5/2020,242,#NAME?,PATROL KEVIN P GARNER,COLD SPRING RD,34,W,M,3,0
9/3/2020,1107,#NAME?,PATROL DAVID JENNINGS D |,[WIA 162? MAIN ST,36,W,M,3,0
8/28/2020,2140,~ MOTOR VEHICLE STOP CITATION - WARNING,NA,BRIDGES RD,30,W,M,3,0
8/27/2020,1721,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,F,3,0
8/27/2020,2058,#NAME?,PATROL ANTHONY M DUPRAT,COLD SPRING RD,30,B,M,3,0
8/26/2020,2120,#NAME?,NA,NORTH HOOSAC RD,30,W,M,3,0
8/26/2020,112,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,34 .,W,M,3,0
8/26/2020,645,#NAME?,PATROL KALVIN DZIEDZIAK,MAIN ST,34,W,M,2,0
8/25/2020,2124,#NAME?,PATROL ANTHONY M DUPRAT,COLD SPRING RD,NA,W,M,4,1
8/25/2020,2044,#NAME?,PATROL ANTHONY M DUPRAT,BRIDGES RD,30,W,M,3,0
8/24/2020,1624,#NAME?,PATROL KEVIN P GARNER,HANCOCK RD,34,W,M,3,0
8/23/2020,31,#NAME?,NA,COLD SPRING RD,34,W,F,3,0
8/22/2020,1747,#NAME?,PATROL KEVIN P GARNER .,HANCOCK RD,NA,W,F,3,0
8/22/2020,2349,#NAME?,PATROL KEVIN P GARNER,COLD SPRING RD,34,W,M,3,0
8/21/2020,915,- MOTOR VEHICLE STOP CITATION ~ WARNING,PATROL TANIA HERNANDEZ,COLE AVE <U+FFFD>-,36,W,F,3,0
8/21/2020,2132,#NAME?,PATROL KEVIN P GARNER,COLD. SPRING RD,34,W,F,3,0
8/21/2020,855,#NAME?,PATROL TANIA HERNANDEZ,COLE AVE,36,W,M,3,0
8/21/2020,923,#NAME?,PATROL TANITA HERNANDEZ,COLE AVE,36,W,M,3,0
8/21/2020,2054,#NAME?,PATROL KEVIN P GARNER,COLD SPRING RD,34,W,M,3,0
8/20/2020,1939,#NAME?,PATROL ANTHONY M DUPRAT,NORTH ST,30,B,M,3,0
8/19/2020,800,~ MOTOR VEHICLE STOP CITATION - WARNING,PATROL TANIA HERNANDEZ,MAIN ST,36,W,F,3,0
8/19/2020,54,~- MOTOR VEHICLE STOP CITATION - WARNING |,PATROL KEVIN P GARNER,COLD SPRING RD,34,W,M,3,0
8/18/2020,917,#NAME?,PATROL TANIA HERNANDEZ,PARK ST,36,W,M,3,0
8/17/2020,1952,~ MOTOR VEHICLE STOP CITATION - WARNING,PATROL SHUAN N WILLIAM,NEW ASHFORD RD .,32,W,M,3,0
8/16/2020,8,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,34,W,F,3,0
8/16/2020,1829,~- MOTOR VEHICLE STOP CITATION - WARNING,PATROL SHUAN N WILLIAM,BRIDGES RD,32,W,F,3,0
8/16/2020,1819,#NAME?,PATROL SHUAN N WILLIAM,BRIDGES RD,32,W,M,3,0
8/15/2020,1933,#NAME?,PATROL ANTHONY M DUPRAT,BRIDGES RD,30,W,F,3,0
8/15/2020,2057,#NAME?,PATROL JOHN J MCCONNELL JR,COLD SPRING RD,38,W,M,4,1
8/14/2020,1938,#NAME?,PATROL ANTHONY M DUPRAT,GREEN RIVER RD,30,W,F,3,0
8/14/2020,110,- MOTOR VEHICLE STOP CITATION - WARNING |,PATROL KEVIN P GARNER,COLD SPRING RD |,34 a,B,M,3,0
8/14/2020,46,#NAME?,PATROL KALVIN DZIEDZIAK,NEW ASHFORD RD,30,W,M,3,0
8/14/2020,232,#NAME?,PATROL KALVIN DZIEDZIAK,NORTH HOOSAC RD,30,W,M,3,0
8/13/2020,1633,#NAME?,NA,MAIN ST,32,W,F,3,0
8/13/2020,1714,#NAME?,PATROL ANTHONY M DUPRAT,MAIN ST,30,W,F,5,1
8/13/2020,2119,#NAME?,NA,COLD SPRING RD,30,W,F,3,0
8/13/2020,19,#NAME?,PATROL KEVIN P GARNER,MAIN ST,34,W,M,3,0
8/13/2020,1350,#NAME?,PATROL TANIA HERNANDEZ,BRIDGES RD,36,W,M,3,0
8/13/2020,1908,#NAME?,PATROL SHUAN N WILLIAM,MAIN ST,32,W,M,4,1
8/12/2020,1828,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,F,4,1
8/12/2020,913,~ MOTOR VEHICLE STOP CITATION ~- WARNING,CHIEF KYLE J JOHNSON,HANCOCK RD,33,W,F,3,0
8/12/2020,1737,#NAME?,DISPATCHER LAURIE TUPER,MILL ST,34,W,F,3,0
8/11/2020,1942,#NAME?,PATROL JOHN J MCCONNELL JR,SIMONDS RD,38,W,F,4,1
8/11/2020,2004,#NAME?,PATROL SHUAN N WILLIAM,SIMONDS RD,38,W,F,3,0
8/11/2020,1640,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,M,4,1
8/9/2020,1126,- MOTOR VEHICLE STOP CITATION ~ WARNING,PATROL ANTHONY M DUPRAT,MAIN ST,30,W,F,3,0
8/8/2020,6978,~- MOTOR VEHICLE STOP CITATION - WARNING,PATROL DAVID JENNINGS D,[WIA 239] MEACHAM ST,30,U,U,3,0
8/7/2020,902,#NAME?,PATROL TANIA HERNANDEZ,NORTH ST,36,W,M,3,0
8/6/2020,1902,#NAME?,PATROL SHUAN N WILLIAM,HANCOCK RD,32 .,W,F,3,0
8/6/2020,1831,#NAME?,NA,HANCOCK RD,32,W,M,3,0
8/5/2020,1912,- MOTOR VEHICLE STOP CITATION - CIVIL :,PATROL JOHN J MCCONNELL JR | |,NORTH HOOSAC RD |,38 7,W,M,4,1
8/3/2020,1736,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,M,4,1
8/2/2020,1952,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,M,4,1
7/31/2020,2132,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,F,4,1
7/31/2020,34,#NAME?,PATROL KEVIN P GARNER,NEW ASHFORD RD,34,W,F,3,0
7/31/2020,226,#NAME?,PATROL KEVIN P GARNER,MAIN ST,34,W,M,3,0
7/30/2020,2039,#NAME?,PATROL JOHN J MCCONNELL JR,MAIN ST,38,W,F,4,1
7/30/2020,1523,#NAME?,CHIEF KYLE J JOHNSON,NEW ASHFORD RD,33,W,M,5,1
7/30/2020,1746,#NAME?,DISPATCHER WILLIAM C JENNINGS JR,{WIA 1844] STRATTON RD,38,W,M,3,0
7/29/2020,225,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,34,A,M,3,0
7/26/2020,1822,- MOTOR VEHICLE STOP CITATION ~- CIVIL,PATROL SHUAN N WILLIAM,NORTH HOOSAC RD,32,W,M,4,1
7/19/2020,157,#NAME?,PATROL KEVIN P GARNER,NEW ASHFORD RD,34,W,M,3,0
7/19/2020,1948,#NAME?,PATROL KEVIN P GARNER,HANCOCK RD,34,W,M,3,0
7/18/2020,103,- MOTOR VEHICLE STOP CITATION - WARNING },PATROL KEVIN P GARNER |,NEW ASHFORD RD ),34 |,B,M,3,0
7/18/2020,2009,- MOTOR VEHICLE STOP CITATION - WARNING .,DISPATCHER LAURIE TUPER,NEW ASHFORD RD,32,W,M,3,0
7/15/2020,1746,#NAME?,PATROL BRAD SACCO,HANCOCK RD,35,W,M,3,0
7/14/2020,1617,- MOTOR VEHICLE STOP CITATION ~- WARNING,PATROL BRAD SACCO,MAIN ST,35,W,F,3,0
7/13/2020,2258,~- MOTOR VEHICLE STOP CITATION - WARNING,PATROL KEVIN P GARNER,NEW ASHFORD RD,34,W,F,3,0
7/13/2020,804,- MOTOR VEHICLE STOP CITATION ~- WARNING,PATROL TANIA HERNANDEZ,NORTH HOOSAC RD,36,W,M,3,0
7/13/2020,813,#NAME?,PATROL TANIA HERNANDEZ,NORTH HOOSAC RD,36,W,M,3,0
7/11/2020,1655,#NAME?,NA,BRIDGES RD,32,W,M,3,0
7/11/2020,1708,#NAME?,PATROL DAVID JENNINGS D |,COLD SPRING RD,34 3,W,M,3,0
7/8/2020,2341,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,38,W,M,3,0
7/7/2020,1806,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,F,4,1
