01/01/2019,,,,,,,,
01/01/2019,0341,- PARKING CHECK SERVICES RENDERED ;, PATROL CRAIG A EICHHAMMER, [WIA 249] NORTH ST, 31,,,,
01/01/2019,0834,- BUILDING CHECK BULLDING CHECKED/ SECURED, PATROL DAVID JENNINGS D, COLD SPRING RD, 34,,,,
01/01/2019,6842,- BUILDING CHECK BUILDING CHECKED/SECURED, PATROL DAVID JENNINGS D, LONGVIEW TER, 34,,,,
01/01/2019,0846,- BUILDING CHECK BUILDING CHECKED/SECURED, PATROL DAVID JENNINGS D, FRENIER AVE, 34,,,,
01/02/2019,0847,- BUILDING CHECK BUILDING CHECKED/SECURED, PATROL DAVID JENNINGS D, HARWOOD ST, 34,,,,
01/02/2019,0903,- BUILDING CHECK BUILDING CHECKED/SECURED, PATROL DAVID JENNINGS D, HAWTHORNE RD, 34 |,,,,
01/02/2019,0941,~- BUILDING CHECK BUILDING CHECKED/SECURED, PATROL DAVID JENNINGS D, NORTH ST, 34,,,,
01/02/2019,1004,- ROAD CONDITIONS SERVICES RENDERED, PATROL DAVID JENNINGS D, SOUTHWORTH ST, 34,,,,
